Symbol,Date,Open,High,Low,Close,Adj Close,Volume
TCS,30-11-2015,1182.5,1195.619995,1175.069946,1186.780029,1052.305786,4100048
TCS,01-12-2015,1181.449951,1189.030029,1178.530029,1180.949951,1047.135986,1721994
TCS,02-12-2015,1189,1189.050049,1173.25,1182.599976,1048.599243,1640296
TCS,03-12-2015,1180,1186.5,1173.5,1175.380005,1042.197266,2283358
TCS,04-12-2015,1170,1173.650024,1160.550049,1164.199951,1032.284302,1246092
TCS,07-12-2015,1166.099976,1171.949951,1157.619995,1159.900024,1028.471436,1382604
TCS,08-12-2015,1159.699951,1174.5,1158.650024,1164.5,1032.550293,1139964
TCS,09-12-2015,1168.949951,1186.400024,1160,1183.819946,1049.68103,5282806
TCS,10-12-2015,1184.5,1195.599976,1176,1192.280029,1057.182251,1723988
TCS,11-12-2015,1191.5,1195.969971,1181.619995,1193,1057.820923,1652378
